step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
63,6.299999999999994,0.1,0.0,4.638249564106338e-14,6.528277116047086e-14,0.0,3.8180360976472825e-13,5.399224028765174e-13,0.0,8.168943910015177e-14,1.1531320382735118e-13,0.0,9.31370504115197e-13,1.3169037925469964e-12,0.0,8.656467053022614e-13,1.2235936388049908e-12,1.9590375532666866e-26,3.336582230248703e-27,4.337255079678982e-25,4.566524657308137e-25,1.8679952860366824e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,6.5999999999999925,0.1,0.0,5.79199576932367e-14,8.187716553564131e-14,0.0,6.623147383277426e-13,9.34797721136686e-13,0.0,1.3839482105048498e-12,1.9571962646774936e-12,0.0,2.453470245510265e-13,3.4687836032382175e-13,0.0,1.5174698140703916e-12,2.1458715892367333e-12,3.8677259460332147e-26,9.57656324679788e-25,3.009758122802098e-26,1.026431165368141e-24,3.2745765110455355e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,6.999999999999991,0.1,0.0,1.1063558886536228e-13,1.564069672918839e-13,0.0,5.999619621706144e-13,8.466559282844649e-13,0.0,1.1490153331269088e-12,1.623734532982936e-12,0.0,6.470218741366167e-13,9.116008111115058e-13,0.0,2.1951461262248406e-12,3.092439092920856e-12,9.340591621298305e-26,6.601181178803705e-25,2.093186528056298e-25,9.628426868989834e-25,4.736946884560079e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,7.29999999999999,0.1,0.0,7.7837621172114e-14,1.0993860534893486e-13,0.0,3.4883549368711537e-13,4.916291642943999e-13,0.0,4.960883121425753e-13,7.009553556974836e-13,0.0,8.60554878166814e-13,1.2119381674146313e-12,0.0,8.638980350166811e-13,1.2214694364553841e-12,4.406175777849617e-26,1.2305180672223467e-25,3.7027734916835013e-25,5.373909136690809e-25,1.8642217947682324e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,7.599999999999989,0.1,0.0,3.767711758480732e-14,5.327526940986691e-14,0.0,8.290125412982987e-13,1.171998175374033e-12,0.0,1.3165207879275146e-12,1.861837750650233e-12,0.0,7.10223611926899e-14,1.000063138465209e-13,0.0,1.0060635772603335e-12,1.4197575603323932e-12,3.566031964058699e-26,8.66613492522642e-25,2.522087894692452e-27,9.047959000579216e-25,2.1710034410977754e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,7.899999999999988,0.1,0.0,1.3065749511645091e-13,1.8399506056491188e-13,0.0,2.771586771033377e-13,3.913545452247015e-13,0.0,8.978417988342432e-14,1.2696784033485075e-13,0.0,1.0180687318111172e-12,1.4368247740240911e-12,0.0,2.8215891001304746e-12,3.9868038445073226e-12,1.1391847409159551e-25,4.030599478669547e-27,5.182319713457483e-25,6.361810449160133e-25,6.088759878731267e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,8.199999999999987,0.1,0.0,3.067473816002336e-14,4.32912351112614e-14,0.0,6.132475680357315e-13,8.670205280221795e-13,0.0,1.2617834777343888e-12,1.7843593562369932e-12,0.0,1.7753690895200125e-13,2.503759154823013e-13,0.0,9.926644876411002e-13,1.4038073304236873e-12,2.0580437136237384e-26,7.960487723417441e-25,1.575967702011558e-26,8.32388886498097e-25,2.142089290880733e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,8.499999999999986,0.1,0.0,5.240390388673316e-14,7.400354115648552e-14,0.0,2.6767686813836924e-13,3.779142754185421e-13,0.0,5.953952485718216e-13,8.395433235742712e-13,0.0,7.57227324922162e-13,1.0702240435074838e-12,0.0,6.837496382746928e-13,9.627939668168077e-13,2.060590349348809e-26,1.7724775101095068e-25,2.866966108043867e-25,4.845502653088255e-25,1.4754761908482713e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,8.799999999999985,0.1,0.0,1.024749808568319e-13,1.4486349040051957e-13,0.0,6.809930317939637e-13,9.605481096949678e-13,0.0,9.76817394999148e-13,1.3793132743150316e-12,0.0,6.597546949035578e-13,9.330315421788912e-13,0.0,2.1954988539478687e-12,3.099032332730633e-12,8.609388757398838e-26,4.770861115864608e-25,2.176381287236433e-25,7.8081812788409245e-25,4.737708025546873e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,9.199999999999983,0.1,0.0,5.6865099023716e-14,8.041883032692104e-14,0.0,7.388165971550495e-13,1.0438440606544727e-12,0.0,1.2376406528217026e-12,1.7502878882289479e-12,0.0,1.7474519790943325e-13,2.462575638825881e-13,0.0,1.4285958206293859e-12,2.0185115562583457e-12,4.201288605888017e-26,7.65877192758465e-25,1.5267942096203495e-26,8.231580209135487e-25,3.082793640724978e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
