step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
629,6.28999999999991,0.01,0.0,1.6440508550071207e-05,2.3243857187714422e-05,0.0,0.0002945934613156035,0.000416501005124103,0.0,6.445881538381448e-05,9.113291687839986e-05,0.0,0.1288413397922636,0.1821579723573881,0.0,5.493593569339358e-05,7.766931534662622e-05,4.843315877184344e-09,2.0774694403423376e-09,0.00830004541973276,0.008300052340518078,0.01784033594114344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
660,6.599999999999904,0.01,0.0,3.0476219641737663e-05,4.3087772770795186e-05,0.0,0.0005460908788858299,0.000772072125982724,0.0,0.00011948820434468156,0.00016893435797404622,0.0,0.2388367101181953,0.33767120777685383,0.0,0.00010183555553175314,0.0001439767572263837,1.6642956561815654e-08,7.1387154887581876e-09,0.02852148705004142,0.028521510831713472,0.061304834465277125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,6.919999999999897,0.01,0.0,5.76303803708481e-05,8.147876485040843e-05,0.0,0.0010326492260515955,0.0014599761950852676,0.0,0.00022595126973579675,0.0003194535635202717,0.0,0.4516390361594048,0.6385345817206428,0.0,0.0001925700302680331,0.0002722586266816416,5.9512580677002105e-08,2.5526988147609385e-08,0.10198890949149804,0.10198899453106687,0.21921764467209817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,7.22999999999989,0.01,0.0,0.00010683025251954257,0.00015103834067856193,0.0,0.0019142320090818103,0.0027063722074607225,0.0,0.0004188490951200059,0.0005921756321725508,0.0,0.8372096802606656,1.1836606010406665,0.0,0.0003569696596025687,0.0005046894843996036,2.044999974747637e-07,8.771728224142384e-08,0.3504600243610829,0.35046031657836263,0.7532879945001728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
754,7.539999999999884,0.01,0.0,0.00019803258379490684,0.0002799816732800594,0.0,0.003548433663649867,0.005016832965890619,0.0,0.0007764257882551958,0.001097723350344101,0.0,1.551946123438427,2.1941665566047006,0.0,0.0006617192742189329,0.0009355494236813363,7.027127344593704e-07,3.0141850233385097e-07,1.2042683850277804,1.2042693891590173,2.588486142609906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,7.859999999999877,0.01,0.0,0.00037447730274242527,0.0005294420737191925,0.0,0.006710046112833326,0.009486771835632233,0.0,0.0014682115757564565,0.0020757812972798597,0.0,2.934711992197623,4.1491433300202285,0.0,0.0012513035563410148,0.0017691132275822698,2.5127858867662223e-06,1.0778226155926286e-06,4.306267238574269,4.306270829182771,9.25600407019441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
817,8.16999999999987,0.01,0.0,0.0006941731537417484,0.0009814332440027513,0.0,0.012438494315553933,0.017585744652726033,0.0,0.002721640711738779,0.003847899703795979,0.0,5.440111494911885,7.691317711451455,0.0,0.0023195565826630528,0.003279426652070195,8.63455788521709e-06,3.7036640818969827e-06,14.797406538536206,14.797418876758174,31.805934829614838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
849,8.489999999999863,0.01,0.0,0.00131267327008736,0.0018558787225099337,0.0,0.02352104475447891,0.03325443389854354,0.0,0.005146589214965373,0.007276331159587002,0.0,10.287186860378712,14.544191341223879,0.0,0.00438625373805804,0.006201356551867233,3.0875765202188795e-05,1.324369027379894e-05,52.913106750174194,52.91315086962967,113.7328234204753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
880,8.799999999999857,0.01,0.0,0.00243331829194111,0.0034402647985509772,0.0,0.04360124078037042,0.06164414015444354,0.0,0.009540293428998255,0.013488221315048385,0.0,19.06948250622987,26.960743117758167,0.0,0.008130850836606593,0.011495528557860376,0.00010609679112205228,4.550859935569365e-05,181.8225815277036,181.82273313309406,390.8142392088107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,9.11999999999985,0.01,0.0,0.004601375781707465,0.006505499580180041,0.0,0.08244941899683074,0.11656832350033795,0.0,0.018040580066054513,0.0255060641890372,0.0,36.06016330261728,50.98244272050087,0.0,0.015375341002628592,0.02173790604875237,0.0003793846732302157,0.0001627312645598617,650.1676887057132,650.168230821651,1397.4875314425665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
