time,step,quantity,kperp,value
2.5000000000000018,125,dbpar,2.5,0.03265122128979862
2.5000000000000018,125,dbpar,3.5,0.01866106060716255
2.5000000000000018,125,dbpar,4.5,0.01648706661114778
2.5000000000000018,125,dbpar,5.5,0.024279438211918948
2.5000000000000018,125,dbpar,6.5,0.003810746150690302
2.5000000000000018,125,dbpar,7.5,0.0018408748983585914
2.5000000000000018,125,dbpar,8.5,0.0
2.5000000000000018,125,dbpar,9.5,0.0
2.5000000000000018,125,dbpar,10.5,0.0
2.5000000000000018,125,dbpar,11.5,0.0
2.5000000000000018,125,s,0.5,0.000747593377714979
2.5000000000000018,125,s,1.5,0.01439854147930835
2.5000000000000018,125,s,2.5,0.01348552598726783
2.5000000000000018,125,s,3.5,0.007192165595140527
2.5000000000000018,125,s,4.5,0.008127285380236332
2.5000000000000018,125,s,5.5,0.01026278012184368
2.5000000000000018,125,s,6.5,0.001857046684514331
2.5000000000000018,125,s,7.5,0.0006509657936623295
2.5000000000000018,125,s,8.5,0.0
2.5000000000000018,125,s,9.5,0.0
2.5000000000000018,125,s,10.5,0.0
2.5000000000000018,125,s,11.5,0.0
3.000000000000002,150,u_perp,0.5,0.0
3.000000000000002,150,u_perp,1.5,0.030492473595975178
3.000000000000002,150,u_perp,2.5,0.019934502743404352
3.000000000000002,150,u_perp,3.5,0.021522517931422756
3.000000000000002,150,u_perp,4.5,0.025726638439360117
3.000000000000002,150,u_perp,5.5,0.038607998047743834
3.000000000000002,150,u_perp,6.5,0.004744531201008553
3.000000000000002,150,u_perp,7.5,0.00226189130295601
3.000000000000002,150,u_perp,8.5,0.0
3.000000000000002,150,u_perp,9.5,0.0
3.000000000000002,150,u_perp,10.5,0.0
3.000000000000002,150,u_perp,11.5,0.0
3.000000000000002,150,b_perp,0.5,0.0
3.000000000000002,150,b_perp,1.5,0.040273104010550266
3.000000000000002,150,b_perp,2.5,0.16379344420351002
3.000000000000002,150,b_perp,3.5,0.015441038079571538
3.000000000000002,150,b_perp,4.5,0.012779285346719266
3.000000000000002,150,b_perp,5.5,0.0281972629600075
3.000000000000002,150,b_perp,6.5,0.003688260665570748
3.000000000000002,150,b_perp,7.5,0.003210852688489212
3.000000000000002,150,b_perp,8.5,0.0
3.000000000000002,150,b_perp,9.5,0.0
3.000000000000002,150,b_perp,10.5,0.0
3.000000000000002,150,b_perp,11.5,0.0
3.000000000000002,150,upar,0.5,0.0055125355080824865
3.000000000000002,150,upar,1.5,0.04138665253145754
3.000000000000002,150,upar,2.5,0.030528924566872076
3.000000000000002,150,upar,3.5,0.020418348981914382
3.000000000000002,150,upar,4.5,0.017088419148138596
3.000000000000002,150,upar,5.5,0.030575175934543106
3.000000000000002,150,upar,6.5,0.004240095669423889
3.000000000000002,150,upar,7.5,0.0023946144171132187
3.000000000000002,150,upar,8.5,0.0
3.000000000000002,150,upar,9.5,0.0
3.000000000000002,150,upar,10.5,0.0
3.000000000000002,150,upar,11.5,0.0
3.000000000000002,150,dbpar,0.5,0.004790832711250447
3.000000000000002,150,dbpar,1.5,0.029940097457701386
3.000000000000002,150,dbpar,2.5,0.025759083392998382
3.000000000000002,150,dbpar,3.5,0.017672758795325764
3.000000000000002,150,dbpar,4.5,0.017535580622809223
3.000000000000002,150,dbpar,5.5,0.029544710822344226
3.000000000000002,150,dbpar,6.5,0.0036969191041850776
3.000000000000002,150,dbpar,7.5,0.0013387055898018418
3.000000000000002,150,dbpar,8.5,0.0
3.000000000000002,150,dbpar,9.5,0.0
3.000000000000002,150,dbpar,10.5,0.0
3.000000000000002,150,dbpar,11.5,0.0
3.000000000000002,150,s,0.5,0.000747593377714979
3.000000000000002,150,s,1.5,0.01263717768208148
3.000000000000002,150,s,2.5,0.012864898441416016
3.000000000000002,150,s,3.5,0.006940755280421922
3.000000000000002,150,s,4.5,0.008517517469669274
3.000000000000002,150,s,5.5,0.011627711088310582
3.000000000000002,150,s,6.5,0.0024470772711339315
3.000000000000002,150,s,7.5,0.000926600226763562
3.000000000000002,150,s,8.5,0.0
3.000000000000002,150,s,9.5,0.0
3.000000000000002,150,s,10.5,0.0
