step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
943,9.429999999999843,0.01,0.0,0.0016264076102066676,0.0022993551209774124,0.0,0.017022959737247902,0.02406643291647444,0.0,0.004501097660325749,0.006363485936921218,0.0,8.498859251975482,12.015373895731377,0.0,16.272208138827196,23.005047983554537,3.185629204795356e-05,1.0129940073894958e-05,36.11530429244462,36.11534627867674,210.0195691496379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
974,9.739999999999837,0.01,0.0,0.002793088367056484,0.003948765364730285,0.0,0.029234140417438062,0.041330149990639865,0.0,0.007729896118602397,0.010928242165965392,0.0,14.595397095494576,20.634434346920344,0.0,27.94484911110961,39.50739747230203,9.395194380085646e-05,2.9875647002192207e-05,106.51280818758576,106.51293201517656,619.3987430946628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1006,10.05999999999983,0.01,0.0,0.004881079878612029,0.006900690788894915,0.0,0.05108830989757752,0.0722267691366441,0.0,0.013508429931701019,0.01909772024234,0.0,25.50628183608098,36.05984095782752,0.0,48.83520418422285,69.04141134106918,0.00028692489503782416,9.123883960983799e-05,325.28520655079734,325.285584714532,1891.6152105843112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037,10.369999999999823,0.01,0.0,0.008382453694228608,0.0118508040094906,0.0,0.08773578447895207,0.12403761767219448,0.0,0.02319851144131617,0.03279720025083625,0.0,43.80285340980531,61.92685933636043,0.0,83.86644920946675,118.56729411312902,0.0008462110993712349,0.00026908546654643865,959.3449834204462,959.3460987170121,5578.832133460937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1069,10.689999999999817,0.01,0.0,0.014648811130045685,0.02070994913980927,0.0,0.15332323486182398,0.2167627371089712,0.0,0.040540708414986026,0.05731495900330487,0.0,76.54795957949113,108.22068327414453,0.0,146.5613553548166,207.20304114196733,0.002584289406283032,0.0008217745193944596,2929.795057891704,2929.7984639556294,17037.49443198835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,10.99999999999981,0.01,0.0,0.02515692871349372,0.03556593839221043,0.0,0.2633074896280736,0.37225442187211105,0.0,0.0696220118789465,0.09842903374366467,0.0,131.45855627584902,185.8512605764927,0.0,251.6950717772142,355.8372136122408,0.007621696063279967,0.0024236122690360832,8640.67600906528,8640.686054373613,50247.70213751485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1131,11.309999999999803,0.01,0.0,0.043202895884111324,0.061078661504298755,0.0,0.4521873944103995,0.6392858680997574,0.0,0.11956437686132641,0.169035708205169,0.0,225.75849319878628,319.16903498314736,0.0,432.24497331924306,611.0920083486842,0.02247822968339544,0.007147820107118643,25483.44862569321,25483.478251743,148192.65699103705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,11.629999999999797,0.01,0.0,0.07549949951876422,0.10673840909229527,0.0,0.7902229966261759,1.1171881406584965,0.0,0.2089454974968649,0.2953994414793626,0.0,394.5257117564524,557.7659068908549,0.0,755.3724926839454,1067.9177829665898,0.06864746941483417,0.02182911046210618,77825.26861846763,77825.3590950475,452573.4921921912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194,11.93999999999979,0.01,0.0,0.1296579977510231,0.18330569731255886,0.0,1.3570782834117965,1.918587247708506,0.0,0.3588295947317298,0.5073000525967403,0.0,677.5331515268605,957.8713920254626,0.0,1297.2282674976962,1833.9735016103282,0.20245803040801402,0.06437933902766874,229525.58570895987,229525.85254632932,1334748.9538530158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1226,12.259999999999783,0.01,0.0,0.22658467000911586,0.3203370533001298,0.0,2.3715709012080213,3.3528395109641136,0.0,0.6270749718944957,0.8865354778275907,0.0,1184.0274277087972,1673.934327523169,0.0,2266.9796234399146,3204.9722182659752,0.6182974180220544,0.19661151018824127,700960.4747833553,700961.2896922835,4076261.291391453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1257,12.569999999999776,0.01,0.0,0.3891219779347664,0.5501263072251391,0.0,4.0727837395365745,5.757951505719001,0.0,1.076898332452255,1.5224791620178908,0.0,2033.3727545675317,2874.707439089891,0.0,3893.1653892360478,5504.013703785693,1.82350898421327,0.5798550092192237,2067302.3795087754,2067304.7828727688,12021882.788464785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1289,12.88999999999977,0.01,0.0,0.6800126212841322,0.9613767749613995,0.0,7.117419481910557,10.062345276246909,0.0,1.881940622952296,2.6606182740346207,0.0,3553.4336667901725,5023.713518973933,0.0,6803.526275946453,9618.574633486978,5.568911710437003,1.7708502541590376,6313445.412138924,6313452.751900889,36714271.45270403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,13.199999999999763,0.01,0.0,1.1678100560895928,1.651006805389595,0.0,12.222999666742497,17.28042632176077,0.0,3.2319241069589824,4.569175155897577,0.0,6102.439042805707,8627.403349209071,0.0,11683.939611175087,16518.323087921075,16.424070745413218,5.222666716571308,18619881.135579713,18619902.782317176,108279287.42591457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1351,13.509999999999756,0.01,0.0,2.0055220804718,2.8353331827826755,0.0,20.990995572555466,29.67629569678511,0.0,5.550299146995492,7.846808319429938,0.0,10479.93736760658,14816.14910211749,0.0,20065.24841511907,28367.508493738846,48.43856642420174,15.402910310569451,54914543.61447836,54914607.455955096,319341869.51028734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1383,13.82999999999975,0.01,0.0,3.5047630409735286,4.954904782461877,0.0,36.682949633833715,51.86100185677653,0.0,9.699461055929925,13.71274046532429,0.0,18314.28210905807,25892.0568804906,0.0,35065.15422493888,49573.82234852928,147.9291311447656,47.03977238775063,167706464.58508226,167706659.5539858,975255231.2105813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1414,14.139999999999743,0.01,0.0,6.018855230776383,8.50923563712183,0.0,62.996944642208256,89.06275792084793,0.0,16.65723223768598,23.549380860328892,0.0,31451.77331001571,44465.357620130155,0.0,60218.64658391642,85134.9025494021,436.2788711084382,138.7316929101026,494607022.1723082,494607597.18287224,2876264113.9710464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1446,14.459999999999736,0.01,0.0,10.518289260529189,14.870369594469533,0.0,110.09071673413209,155.6421967686265,0.0,29.10945358111296,41.15387233821252,0.0,54963.749209277405,77705.72236559377,0.0,105235.48405159322,148778.04779266584,1332.3754004644425,423.68014389548483,1510506863.5701714,1510508619.6257157,8783976957.125122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1477,14.76999999999973,0.01,0.0,18.063435271920465,25.537418869741394,0.0,189.0627350612335,267.2899249359899,0.0,49.990708329909715,70.67502050401744,0.0,94391.21719817613,133446.82309470154,0.0,180724.66989556293,255501.87579176077,3929.4980718733577,1249.5354596630518,4454850942.076631,4454856121.110162,25906077599.766266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1508,15.079999999999723,0.01,0.0,31.02098504231906,43.85632504848927,0.0,324.68421360869525,459.02657155182726,0.0,85.85083579051661,121.37274670604384,0.0,162101.42161511452,229173.0139283546,0.0,310364.955348401,438782.5321101334,11589.042466036954,3685.1830029651246,13138435444.82056,13138450719.04603,76403303409.82883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1540,15.399999999999716,0.01,0.0,54.21092239434605,76.6414035679873,0.0,567.4039906354037,802.1748443245417,0.0,150.02918154200322,212.10572596224122,0.0,283281.38436616206,400492.77790502075,0.0,542380.2785554308,766797.2426977109,35392.397200195104,11254.377657081675,40124171364.20462,40124218010.97948,233332138494.148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571,15.70999999999971,0.01,0.0,93.09836071577844,131.61903026169864,0.0,974.4232169199122,1377.6036214754456,0.0,257.65049263452534,364.2567680706495,0.0,486489.27819270367,687780.6068349525,0.0,931449.0989613617,1316848.3977682926,104380.75973592428,33191.888177406785,118335908898.2289,118336046470.87682,688153044538.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1603,16.029999999999706,0.01,0.0,162.69464044757024,230.01168484436857,0.0,1702.8595745574125,2407.440089727735,0.0,450.2587794022206,636.5592633006682,0.0,850167.4743639774,1201935.4334008144,0.0,1627759.8776779387,2301266.9068679055,318773.99012499535,101366.48421438875,361392367233.21204,361392787373.6864,2101587422618.1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634,16.339999999999755,0.01,0.0,279.401339322791,395.0073132625339,0.0,2924.3818020114836,4134.383182866109,0.0,773.2455455240591,1093.18604617283,0.0,1460023.0857790215,2064126.814183105,0.0,2795410.3999245213,3952048.1691916473,940141.7791809894,298954.33683639974,1065833705503.8479,1065834944599.9639,6198090809825.863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1666,16.659999999999805,0.01,0.0,488.2696117543354,690.2975767914926,0.0,5110.522270758354,7225.067984403526,0.0,1351.2902379739367,1910.4043224478296,0.0,2551472.755905787,3607178.120962876,0.0,4885137.465602121,6906427.255798877,2871149.3094178177,912992.6536218291,3255006612064.7363,3255010396206.699,18928681335540.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1697,16.969999999999853,0.01,0.0,838.52291076962,1185.472778673845,0.0,8776.483129128852,12407.8682984619,0.0,2320.6191750683865,3280.80583890929,0.0,4381735.644666625,6194736.319523556,0.0,8389421.722250044,11860655.150631815,8467715.383522317,2692636.677847539,9599803629871.021,9599814790223.082,55825270252932.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
