step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,upar_mean,upar_rms,upar_max_abs,dbpar_mean,dbpar_rms,dbpar_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,upar_energy,dbpar_energy,entropy_variance,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
375,6.297292892962217,0.016672436724256584,6.532318089225164e-17,0.9999743901594619,6.79295079299145,-2.92300905702092e-16,8.100838667081025,55.08943315823361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796900270382408,0.0,0.0,0.0,6.796900270382408,6.796900270382408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,6.5993444833254395,0.017195374347990604,6.787105599759258e-17,0.9999731644354302,6.485275011147358,-3.46077333457373e-16,8.100827409355226,52.54054474179518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796882205501181,0.0,0.0,0.0,6.796882205501181,6.796882205501181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,6.917127644162771,0.01680611895773322,6.526897078362737e-17,0.9999718882296421,6.574533057953286,-3.963843142607004e-16,8.10081568797615,53.27992729022999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796863396637769,0.0,0.0,0.0,6.796863396637769,6.796863396637769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,7.2365672211379595,0.016633737649857032,6.928051882182373e-17,0.9999705845057902,6.799971075508756,-3.7556763254897874e-16,8.100803713857308,55.147595260051844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7968441822383685,0.0,0.0,0.0,6.7968441822383685,6.7968441822383685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,7.556136088142764,0.016710778047392755,7.150313327541902e-17,0.999969278714475,6.878774596685409,-5.2562121322097255e-16,8.100791720749767,55.80052296340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796824937395804,0.0,0.0,0.0,6.796824937395804,6.796824937395804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,7.8591288091767995,0.016696556335293933,7.768308565858639e-17,0.9999680377245351,6.772271053453953,-5.997806418189811e-16,8.10078032281391,54.91809360581274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796806647625802,0.0,0.0,0.0,6.796806647625802,6.796806647625802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,8.178078002701849,0.017123571273707366,7.903833837419327e-17,0.9999667419767321,6.52076148275715,-5.93275428784068e-16,8.100768421950903,52.83449338978207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796787550857294,0.0,0.0,0.0,6.796787550857294,6.796787550857294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,8.495755857968401,0.016847507681309097,7.752045533271357e-17,0.999965467577524,6.541986041812777,-5.872038966181492e-16,8.100756717164007,53.010309021329306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796768768750004,0.0,0.0,0.0,6.796768768750004,6.796768768750004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,8.7984577855017,0.016638582109174745,7.524363077049401e-17,0.9999642312821948,6.817430446036806,-6.600622826091751e-16,8.100745362345624,55.292248016882034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796750548244351,0.0,0.0,0.0,6.796750548244351,6.796750548244351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
543,9.117974180634675,0.016684441643318993,8.473039977974217e-17,0.9999629263807378,6.878136708542941,-8.092485015431805e-16,8.100733377410632,55.795233429048665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.796731316648872,0.0,0.0,0.0,6.796731316648872,6.796731316648872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
