step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,drho_mean,drho_rms,drho_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_stratification,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
723,7.22999999999989,0.01,0.0,2.2703851874356743e-13,3.172109151361965e-13,0.0,2.6608641027843984e-13,3.759086526653313e-13,0.0,9.106850308843278e-11,1.2870465085344496e-10,0.0,3.965269048210112e-10,5.60407944675159e-10,0.0,1.3832410341521597e-11,1.955475231599349e-11,6.924698342698975e-26,4.146736127383945e-21,7.861679312346561e-20,8.276359849783299e-20,2.868357711511714e-19,0.0,0.0,3.862794137538053e-19,3.862794137538053e-19,0.0,0.0,0.0,0.0,0.0,0.0
754,7.539999999999884,0.01,0.0,1.2910147437696424e-13,1.8251716023126789e-13,0.0,4.586008095538401e-13,6.400600730894105e-13,0.0,2.1840657939247197e-10,3.0871424540928364e-10,0.0,1.479430536766489e-10,2.0914430659173415e-10,0.0,1.47314003741241e-10,2.082544461359013e-10,6.924586631716534e-26,2.3850716960960087e-20,1.0943573565585906e-20,3.4794359772412307e-20,4.573823028609437e-20,0.0,0.0,-7.773214815519415e-19,-7.773214815519415e-19,0.0,0.0,0.0,0.0,0.0,0.0
786,7.859999999999877,0.01,0.0,2.260945291748978e-13,3.160258814447922e-13,0.0,2.6926549773503635e-13,3.8025192708693187e-13,0.0,1.0184465855810199e-10,1.4397301565391216e-10,0.0,3.9192436754240825e-10,5.537819028709162e-10,0.0,2.910756064449393e-10,4.1146889124772e-10,6.92447131904429e-26,5.1861672384081875e-21,7.680235493675835e-20,8.198859141987972e-20,1.8028566857480481e-19,0.0,0.0,4.2010306257969766e-19,4.2010306257969766e-19,0.0,0.0,0.0,0.0,0.0,0.0
817,8.16999999999987,0.01,0.0,1.3069295463004117e-13,1.847214502802598e-13,0.0,4.567841841715297e-13,6.378011566698602e-13,0.0,1.2550414946650357e-10,1.7738138219989215e-10,0.0,3.0250588799757665e-11,4.273191242769772e-11,0.0,2.8092839181022547e-10,3.9713800745240553e-10,6.924359611724249e-26,7.875645766655233e-21,4.575490613660116e-22,8.333264071617362e-21,8.14125582978167e-20,0.0,0.0,-3.186086541256752e-19,-3.186086541256752e-19,0.0,0.0,0.0,0.0,0.0,0.0
849,8.489999999999863,0.01,0.0,2.2513628471146653e-13,3.1481854572379994e-13,0.0,2.724415264576411e-13,3.8456817789080783e-13,0.0,2.1540136609831902e-10,3.0447075822590346e-10,0.0,2.9250085936064494e-10,4.060357615888318e-10,0.0,1.278968622327151e-10,1.8082902005462345e-10,6.92424430283249e-26,2.3198874258511026e-20,4.2778376363357876e-20,6.597731986431193e-20,2.3265139373995768e-19,0.0,0.0,4.72265102391969e-19,4.72265102391969e-19,0.0,0.0,0.0,0.0,0.0,0.0
880,8.799999999999857,0.01,0.0,1.322839330290234e-13,1.86912609512209e-13,0.0,4.549386202736368e-13,6.354972261040532e-13,0.0,6.518708100198173e-11,9.215847923336893e-11,0.0,1.1270442245944768e-11,1.5722822684917505e-11,0.0,6.811905438349663e-12,9.557544002099854e-12,6.924132599174725e-26,2.124677764779463e-21,6.351143420958827e-23,2.188258440315043e-21,2.2715026808635527e-21,0.0,0.0,-7.427869974483129e-19,-7.427869974483129e-19,0.0,0.0,0.0,0.0,0.0,0.0
912,9.11999999999985,0.01,0.0,2.2416387521793033e-13,3.1358899405480753e-13,0.0,2.756137151007792e-13,3.888571008333419e-13,0.0,1.6112653129075984e-10,2.2773643991850083e-10,0.0,1.9274462477771728e-10,2.68749620251298e-10,0.0,4.979494766927705e-11,7.041100277009183e-11,6.924017294063321e-26,1.2980879542896105e-20,1.8575245190351513e-20,3.155619397342056e-20,7.132468185143074e-20,0.0,0.0,2.155723434631075e-19,2.155723434631075e-19,0.0,0.0,0.0,0.0,0.0,0.0
943,9.429999999999843,0.01,0.0,1.338739832064943e-13,1.890904834575494e-13,0.0,4.5306428930607404e-13,6.331484457399831e-13,0.0,2.0508356359526628e-10,2.898901390420051e-10,0.0,1.0708933754390263e-10,1.5120876024820448e-10,0.0,2.0790809874007915e-10,2.9390487325128176e-10,6.92390559406772e-26,2.1029634028466804e-20,5.7340631077959585e-21,2.6763766375318704e-20,1.0690286673081316e-19,0.0,0.0,1.1487496980130516e-19,1.1487496980130516e-19,0.0,0.0,0.0,0.0,0.0,0.0
974,9.739999999999837,0.01,0.0,2.28812735215164e-13,3.1942249949328195e-13,0.0,2.5986666705906014e-13,3.67341459063055e-13,0.0,2.638289961042301e-11,3.7306710474330204e-11,0.0,1.7038492020296232e-10,2.4087691158337955e-10,0.0,3.078173760328788e-10,4.351356603271826e-10,6.923793895874084e-26,3.480286959268292e-22,1.4515510516284913e-20,1.48636084501507e-20,1.563027341887081e-19,0.0,0.0,1.5923778920489394e-19,1.5923778920489394e-19,0.0,0.0,0.0,0.0,0.0,0.0
1006,10.05999999999983,0.01,0.0,1.3546269380371754e-13,1.912549185909579e-13,0.0,4.5116136603867194e-13,6.307549830908312e-13,0.0,1.8518792323252668e-10,2.617500348115236e-10,0.0,2.446995616311223e-10,3.456595815663106e-10,0.0,2.3645825687482224e-10,3.342826635271783e-10,6.923678596402989e-26,1.7147283455588096e-20,2.993893773123171e-20,4.7086290423605765e-20,7.709564643112165e-20,0.0,0.0,-2.473912532073549e-19,-2.473912532073549e-19,0.0,0.0,0.0,0.0,0.0,0.0
