step,time,dt,psi_mean,psi_rms,psi_max_abs,omega_mean,omega_rms,omega_max_abs,du_par_mean,du_par_rms,du_par_max_abs,db_par_mean,db_par_rms,db_par_max_abs,s_mean,s_rms,s_max_abs,alfvenic_energy,du_par_energy,db_par_energy,total_energy_proxy,total_energy,total_energy_rhs_dissipation,total_energy_rhs_forcing,total_energy_rhs_total,auto_dissipation_enabled,auto_dissipation_nu_perp,auto_dissipation_nu_par,auto_dissipation_kd,auto_dissipation_ud,auto_dissipation_Ed
70,6.999999999999991,0.1,0.0,3.406336243175959e-11,4.745544894116672e-11,0.0,5.0026057004008613e-11,6.984063319603768e-11,0.0,7.369730546363163e-11,1.0255241637374093e-10,0.0,7.923981534283028e-12,1.1029535500894736e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,7.638286382537334e-21,2.715646416299914e-21,3.13947416778292e-23,1.0385327540515077e-20,1.3525325841993372e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,7.29999999999999,0.1,0.0,3.613379080579081e-11,5.032418192900386e-11,0.0,1.9927286452771915e-12,2.804112312861683e-12,0.0,8.492670798227306e-11,1.1820790926125238e-10,0.0,8.876542782110796e-12,1.2355179431639784e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,8.48688317649569e-21,3.606272864353141e-21,3.939650588132162e-23,1.2132552546730153e-20,1.607272726855769e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,7.599999999999989,0.1,0.0,3.570103886363388e-11,4.9666851313947405e-11,0.0,4.1405022045532646e-12,5.854202250559575e-12,0.0,9.517089132161382e-11,1.3246880590701531e-10,0.0,9.945901893617967e-12,1.3843374546365694e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,8.285326518954678e-21,4.528749277475212e-21,4.946048223873673e-23,1.2863536278668627e-20,1.7810108636237676e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,7.899999999999988,0.1,0.0,3.8577444382667176e-11,5.3642384906086394e-11,0.0,6.327633034303534e-11,8.811868641416474e-11,0.0,1.0452613694745286e-10,1.4546447612758926e-10,0.0,1.114614775354132e-11,1.5513727935697916e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,9.827420820507908e-21,5.462856652578834e-21,6.211830487188711e-23,1.5352395777958628e-20,2.1564750398842716e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,8.199999999999987,0.1,0.0,4.696761810380414e-11,6.535495038404846e-11,0.0,1.0973340902975272e-10,1.532898742218703e-10,0.0,1.1580581188876478e-10,1.6114126597371527e-10,0.0,1.2493093691920534e-11,1.7388246640371593e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,1.4801853056367717e-20,6.705493033607986e-21,7.80386949975523e-23,2.1585384784973257e-20,2.938977841842386e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,8.499999999999986,0.1,0.0,5.676356431875081e-11,7.903993656399796e-11,0.0,9.196630166673983e-11,1.2835406558109362e-10,0.0,1.3113534331191847e-10,1.8248443590514332e-10,0.0,1.4004485825608576e-11,1.9491627595769654e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.1268964546800452e-20,8.598239132767356e-21,9.806281161983576e-23,2.996526649118765e-20,3.9772071786866594e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,8.799999999999985,0.1,0.0,6.289743145186586e-11,8.757882204934957e-11,0.0,4.227956105780561e-11,5.879796867383704e-11,0.0,1.494677580417405e-10,2.080253711194608e-10,0.0,1.5700236864494192e-11,2.1851583016041818e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.5783317098121784e-20,1.1170305347012138e-20,1.2324871880061117e-22,3.707687116393453e-20,4.9402267177691027e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,9.199999999999983,0.1,0.0,6.714336275043354e-11,9.341988496801402e-11,0.0,4.756509310509914e-11,6.629802834497889e-11,0.0,1.7429792295307464e-10,2.4258912290679523e-10,0.0,1.8287020081519594e-11,2.5451583729516954e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,2.9390519398647395e-20,1.5189882972877973e-20,1.6720755173095043e-22,4.474760992325632e-20,6.146888923004673e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,9.499999999999982,0.1,0.0,7.443568383095999e-11,1.035478428218315e-10,0.0,1.135312100138192e-10,1.581326231570915e-10,0.0,1.9320730834814617e-10,2.688800878459199e-10,0.0,2.0504579860435975e-11,2.853774441726294e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,3.651010535672568e-20,1.8664531999567813e-20,2.1021889762649823e-22,5.538485625392e-20,7.64072701502652e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,9.799999999999981,0.1,0.0,8.74663319207484e-11,1.2172259563618606e-10,0.0,1.5935583078739642e-10,2.2236750417173028e-10,0.0,2.1549686579321378e-10,2.998818688892835e-10,0.0,2.29921378022263e-11,3.1999662891204086e-11,0.0,1.0238493008008255e-12,1.4384048126146475e-12,5.070403803577927e-20,2.3219449583349196e-20,2.643192003582819e-22,7.418780681948676e-20,1.0062025098901032e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
